kutti,standard
আমার ফুন ভাই,আমার ফোন ভাই
পয়সট্টি হাজার ট্যাকার নিচে,পঁয়ষট্টি হাজার টাকার নিচে
আমি বেচবার পারুম না,আমি বিক্রি করতে পারবো না
আপনের ফুনের লাইগা,আপনার ফোনের জন্য
পঞ্চান্ন হাজার ট্যাকার উপ্রে,পঞ্চান্ন হাজার টাকার উপরে
আমি দিবার পারুম না,আমি দিতে পারবো না
হইলে বাকি দস হাজার ট্যাকা,হলে বাকি দশ হাজার টাকা
আপনে আমারে নগদ দিবেন,আপনি আমাকে নগদ দেবেন
ফুন ডা লইয়া কী করবা,ফোনটা নিয়ে কী করবে
তো চাইর দিন পর,তো চার দিন পর
অয় অহন আইয়া কইবার লাগছে,ও এখন এসে বলছে
তোমারে যহন কথা দিয়া হালাইছি,তোমাকে যখন কথা দিয়ে ফেলেছি
অহন দুই দিন লাগায় দিছে,এখন দুই দিন লাগিয়ে দিয়েছে
ফুন নিবার পারি নাইক্কা,ফোন নিতে পারিনি
অহন আমি ফুনের,এখন আমি ফোনের
অ্যাডভেটাইজ দেই কিল্লাইগা,বিজ্ঞাপন দেই কেন
হেইডাতে ভি অর তাকলিফ,সেটায়ও ওর সমস্যা 
তুমি না কইলা ফুনডা,তুমি না বললে ফোনটা
তুমার দোস্তের বউ চালাইবো,তোমার বন্ধুর স্ত্রী চালাবে
অহন অ্যাডভেটাইজ দেও কিল্লাইগা,এখন বিজ্ঞাপন দাও কেন
কয় তোমার ফুনের ব্যাটারি কইমা গ্যাছে গা,বলে তোমার ফোনের ব্যাটারি কমে গেছে
তুমি আমার ফোন বেইচ্চা,তুমি আমার ফোন বিক্রি করে 
আর কয় ট্যাকা লাভ করবার পারবা,আর কত টাকা লাভ করতে পারবে
কতা হুইন্না লাগে য্যান অর বউ,কথা শুনে মনে হয় যেন ওর বউ
অর লগে তো আর আমার ,ওর সাথে তো আর আমার
মিলাইয়া লাভ নাইক্কা,তুলনা করে লাভ নেই
আমি হিসাব কইরাই কিনছি,আমি হিসাব করেই কিনেছি
তুই কতা বুজবার পারস নাইক্কা,তুই কথা বুঝতে পারিসনি
অহন কইলো বিষ্ষুদবার দিয়া দিব,এখন বলল বৃহস্পতিবার দিয়ে দেবে
এইযে ঘুরাইতাছে আমারে,এই যে ঘোরাচ্ছে আমাকে
অ্যাক মাস পার হইয়া গেছে গা,এক মাস পার হয়ে গেছে
অ্যাক মাসের উপরে গেছে গা,এক মাসের উপরে হয়ে গেছে
আরেক চাইর তারিখ আইয়া পড়লো,আরেক চার তারিখ চলে এলো
বুজছস অর পার্টি এডি কিরম,বুঝেছিস ওর মক্কেল এগুলো কেমন
আবার আমারে কভারের ছবি পাডায়,আবার আমাকে কভারের ছবি পাঠায়
