Kutti,Standard Bangla
ফুন,ফোন
পয়সট্টি,পঁয়ষট্টি
ট্যাকার,টাকার
আপনের,আপনার
ফুনের,ফোনের
লাইগা,জন্য
উপ্রে,উপরে
দিবার,দিতে
পারুম,পারবো
হইলে,হলে
দস,দশ
ট্যাকা,টাকা
আপনে,আপনি
আমারে,আমাকে
দিবেন,দেবেন
করবা,করবে
চাইর,চার
তোমারে,তোমাকে
যহন,যখন
দিয়া,দিয়ে
হালাইছি,ফেলেছি
অহন,এখন
লাগায়,লাগিয়ে
দিছে,দিয়েছে
অ্যাডভেটাইজ,বিজ্ঞাপন
কিল্লাইগা,কেন
কইলা,বললে
ফুনডা,ফোনটা
তুমার,তোমার
দোস্তের,বন্ধুর
বউ,স্ত্রী
চালাইবো,চালাবে
দেও,দাও
কয়,বলে
কয়,কত
করবার,করতে
পারবা,পারবে
অর,ওর
লগে,সাথে
নাইক্কা,নেই
কইরাই,করেই
কিনছি,কিনেছি
কইলো,বলল
বিষ্ষুদবার,বৃহস্পতিবার
দিয়া,দিয়ে
দিব,দেবে
অ্যাক,এক
 হইয়া,হয়ে
গেছেগা,গিয়েছে
আইয়া,এসে
পাডায়,পাঠায়
আমাত্তে,আমার কাছে
তিরিশ,ত্রিশ
লইয়া,নিয়ে
যাইতে,যেতে
দেহায়,দেখায়
দিলে,মনে
কস্ট,কষ্ট
মাগার,কিন্তু
নি,কি
কুনুদিন,কোনোদিন
মানুস,মানুষ
অবি,হবি
খামু,খাব
হ্যায়,সে
অ্যাকখান,একটা
কইরা,করে
বেসি,বেশি
আইবো,আসবে
মুর্গী,মুরগি
বেছি,বেশি
খাওন,খাবার
খাইলে,খেলে
ম্যালা,অনেক
এক্কান,একটা
কতা,কথা
কওনের,বলার
দ্যায়,দেয়
হ্যারে,তাকে
লইয়া,নিয়ে
পড়েন,পড়ুন
এইসব,এসব
দেইখা,দেখে
ব্যাকগুনে,সবাই
কইল,বলল
যাইবেন,যাবেন
করতাম,করব
হ্যারা,তারা
লইয়া,নিয়া
যাইবো,যাবে
কি,কী
অরে,ওকে
তরা,তোরা
বুজস,বুঝিস
কইছি,বলেছি
কইবেন,বলবেন
তরে,তোকে
কিয়ের,কিসের
যাইবার,যেতে
ক,বল
দেহি,দেখি
অ্যাকবার,একবার
তর,তোর
অইবো,হবে
সাড়ি,শাড়ি
পিন্দা,পরে
অহনই,এখনই
হগলডি,সব
লইতে,নিতে
আইচ্ছা,আচ্ছা
কতায়,কথায়
অ্যাকবারে,একবারে
কইতাছি,বলছি
গোস্সা,রাগ
করছে,করেছে
ক্যালা,কেন
বান্দরও,বানরও
অয়া,হয়ে
গ্যাছে,গেছে
এমুন,এমন
ঘাড়ানি,মাইর
ত্যাড়া,বাঁকা
খোমা,মুখ
খালি,শুধু
সিধা,সোজা
বাইর,বের
হইবো,হবে
হিগাইস,শেখাস
লই,নেই
মইদ্দে,মধ্যে
খ্যালাইবি,খেলাবি
মাইনসের,মানুষের
বাড়িত,বাড়িতে
ফালাইবি,ফেলবি
মাইনসে,মানুষ
কিচ্ছু,কিছু
কইবো,বলবে
বইয়া,বসে
থাকবো,থাকবে
নি,নাকি
অই,এই
খাড়া,দাড়া
কইবার,বলতে
ভাঙছি,ভেঙেছি
দ্যাখ,দেখ
গেছি,গিয়েছি
ক্যামনে,কীভাবে
মাফ,ক্ষমা
গোসসা,রাগ
বহুত,অনেক
জ্বালা,কষ্ট
